TITLE,NAME,GPIO OEN,GPIO Out,GPIO In,Always On JTAG,Always On Remote,Always On UART,UART PMIC,Always On I2C-Master,Always On I2C-Slave,Audio In,Audio OUT,FEC-A (in),FEC-B (in),FEC-C (in),FEC OUT,Encoder,PWM,VGHL/LED_BL,mLVDS,TCON,HDMI,LCD OUT,LCD IN,VGA,UART-A,UART-B,UART-C,SDIO-A,SDIO-B,SDIO-C,SDXC,I2C Master,I2C SLAVE,SPI,Ethernet,ITU601 In,ISO7816,PCM,NAND,NAND,Clock Out,WD GPIO,Production
PAD,CARD_0,0x201b bit[23],0x201c bit[23],0x201d bit[23],,,,,,,,,,,,,,,,,,,,,,,,,,SD_D0_B REG2[15],,SDXC_D0_B REG2[7],,,,,,,,,,,,
PAD,CARD_1,0x201b bit[24],0x201c bit[24],0x201d bit[24],,,,,,,,,,,,,,,,,,,,,,,,,,SD_D1_B REG2[14],,SDXC_D1_B REG2[6],,,,,,,,,,,,
PAD,CARD_2,0x201b bit[25],0x201c bit[25],0x201d bit[25],,,,,,,,,,,,,,,,,,,,,,,,,,SD_D2_B REG2[13],,SDXC_D2_B REG2[6],,,,,,,,,,,,
PAD,CARD_3,0x201b bit[26],0x201c bit[26],0x201d bit[26],,,,,,,,,,,,,,,,,,,,,,,,,,SD_D3_B REG2[12],,SDXC_D3_B REG2[6],,,,,,,,,,,,
PAD,CARD_4,0x201b bit[27],0x201c bit[27],0x201d bit[27],,,,,,,,,,,,,,,,,,,,,,,,,,SD_CLK_B REG2[11],,SDXC_CLK_B REG2[5],,,,,,,,,,,,
PAD,CARD_5,0x201b bit[28],0x201c bit[28],0x201d bit[28],,,,,,,,,,,,,,,,,,,,,,,,,,SD_CMD_B REG2[10],,SDXC_CMD_B REG2[4],,,,,,,,,,,,
PAD,CARD_6,0x201b bit[29],0x201c bit[29],0x201d bit[29],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAD,CARD_7,0x201b bit[30],0x201c bit[30],0x201d bit[30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAD,CARD_8,0x201b bit[31],0x201c bit[31],0x201d bit[31],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAD,GPIOB_0,0x200f bit[0],0x2010 bit[0],0x2011 bit[0],,,,,,,,,,FEC_D0_B REG3[10],,,,,,,,,LCD_R0 REG0[1],,,,,,,,,,,,,,,,,,,,,
PAD,GPIOB_1,0x200f bit[1],0x2010 bit[1],0x2011 bit[1],,,,,,,,,,FEC_D1_B REG3[11],,,,,,,,,LCD_R1 REG0[0],,,,,,,,,,,,,,,,,,,,,
PAD,GPIOB_2,0x200f bit[2],0x2010 bit[2],0x2011 bit[2],,,,,,,,,,FEC_D2_B REG3[11],,,,,,,,,LCD_R2 REG0[0],,,,,,,,,,,,,,,,,,,,,
PAD,GPIOB_3,0x200f bit[3],0x2010 bit[3],0x2011 bit[3],,,,,,,,,,FEC_D3_B REG3[11],,,,,,,,,LCD_R3 REG0[0],,,,,,,,,,,,,,,,,,,,,SYS_PLL_DIV3 REG5[23]
PAD,GPIOB_4,0x200f bit[4],0x2010 bit[4],0x2011 bit[4],,,,,,,,,,FEC_D4_B REG3[11],,,,,,,,,LCD_R4 REG0[0],,,,,,,,,,,,,,,,,,,,,DDR_PLL REG5[22]
PAD,GPIOB_5,0x200f bit[5],0x2010 bit[5],0x2011 bit[5],,,,,,,,,,FEC_D5_B REG3[11],,,,,,,,,LCD_R5 REG0[0],,,,,,,,,,,,,,,,,,,,,VID_PLL REG5[21]
PAD,GPIOB_6,0x200f bit[6],0x2010 bit[6],0x2011 bit[6],,,,,,,,,,FEC_D6_B REG3[11],,,,,,,,,LCD_R6 REG0[0],,,,,,,,,,,,,,,,,,,,,VID2_PLL REG5[20]
PAD,GPIOB_7,0x200f bit[7],0x2010 bit[7],0x2011 bit[7],,,,,,,,,,FEC_D7_B REG3[11],,,,,,,,,LCD_R7 REG0[0],,,,,,,,,,,,,,,,,,,,,MP0_PLL REG5[19]
PAD,GPIOB_8,0x200f bit[8],0x2010 bit[8],0x2011 bit[8],,,,,,,,,,FEC_CLK_B REG3[9],,,,,,,,,LCD_G0 REG0[3],,,,,,,,,,,,,,,,,,,,,MP1_PLL REG5[18]
PAD,GPIOB_9,0x200f bit[9],0x2010 bit[9],0x2011 bit[9],,,,,,,,,,FEC_SOP_B REG3[8],,,,,,,,,LCD_G1 REG0[3],,,,,,,,,,,,,,,,,,,,,MP2_PLL REG5[17]
PAD,GPIOB_10,0x200f bit[10],0x2010 bit[10],0x2011 bit[10],,,,,,,,,,FEC_D_VALID_B REG3[7],,,,,,,,,LCD_G2 REG0[2],,,,,,,,,,,,,,,,,,,,,FCLK_DIV5 REG5[16]
PAD,GPIOB_11,0x200f bit[11],0x2010 bit[11],0x2011 bit[11],,,,,,,,,,FEC_FAIL_B REG3[6],,,,,,,,,LCD_G3 REG0[2],,,,,,,,,,,,,,,,,,,,,HDMI_CH0_TMDS REG5[17]
PAD,GPIOB_12,0x200f bit[12],0x2010 bit[12],0x2011 bit[12],,,,,,,,,,,,FEC_FAIL_OUT REG3[17],,,,,,,LCD_G4 REG0[2],,,,,,,,,,,,,,,,,,,,,
PAD,GPIOB_13,0x200f bit[13],0x2010 bit[13],0x2011 bit[13],,,,,,,,,,,,FEC_D_VALID_OUT REG3[16],,,,,,,LCD_G5 REG0[2],,,,,,,,,,,,,,,,,,,,,
PAD,GPIOB_14,0x200f bit[14],0x2010 bit[14],0x2011 bit[14],,,,,,,,,,,,FEC_SOP_OUT REG3[15],,,,,,,LCD_G6 REG0[2],,,,,,,,,,,,,,,,,,,,,
PAD,GPIOB_15,0x200f bit[15],0x2010 bit[15],0x2011 bit[15],,,,,,,,,,,,FEC_CLK_OUT REG3[14],,,,,,,LCD_G7 REG0[2],,,,,,,,,,,,,,,,,,,,,
PAD,GPIOB_16,0x200f bit[16],0x2010 bit[16],0x2011 bit[16],,,,,,,,,,,,FEC_D0_OUT REG3[13],,,,,,,LCD_B0 REG0[5],,,,,,,,,,,,,,,,,,,,,
PAD,GPIOB_17,0x200f bit[17],0x2010 bit[17],0x2011 bit[17],,,,,,,,,,,,FEC_D1_OUT REG3[12],,,,,,,LCD_B1 REG0[5],,,,,,,,,,,,,,,,,,,,,
PAD,GPIOB_18,0x200f bit[18],0x2010 bit[18],0x2011 bit[18],,,,,,,,,,,,FEC_D2_OUT REG3[12],,,,,,,LCD_B2 REG0[4],,,,,,,,,,,,,,,,,,,,,
PAD,GPIOB_19,0x200f bit[19],0x2010 bit[19],0x2011 bit[19],,,,,,,,,,,,FEC_D3_OUT REG3[12],,,,,,,LCD_B3 REG0[4],,,,,,,,,,,,,,,,,,,,,
PAD,GPIOB_20,0x200f bit[20],0x2010 bit[20],0x2011 bit[20],,,,,,,,,,,,FEC_D4_OUT REG3[12],,,,,,,LCD_B4 REG0[4],,,,,,,,,,,,,,,,,,,,,
PAD,GPIOB_21,0x200f bit[21],0x2010 bit[21],0x2011 bit[21],,,,,,,,,,,,FEC_D5_OUT REG3[12],,,,,,,LCD_B5 REG0[4],,,,,,,,,,,,,,,,,,,,,
PAD,GPIOB_22,0x200f bit[22],0x2010 bit[22],0x2011 bit[22],,,,,,,,,,,,FEC_D6_OUT REG3[12],,,,,,,LCD_B6 REG0[4],,,,,,,,,,,,,,,,,,,,,
PAD,GPIOB_23,0x200f bit[23],0x2010 bit[23],0x2011 bit[23],,,,,,,,,,,,FEC_D7_OUT REG3[12],,,,,,,LCD_B7 REG0[4],,,,,,,,,,,,,,,,,,,,,
PAD,GPIOA_0,0x200c bit[0],0x200d bit[0],0x200e bit[0],,,,,,,,,FEC_D0_A REG3[4],,,,,,,,,,,LCDin_R0 REG0[6],,,,,,,,,,,,,,,,,,,,
PAD,GPIOA_1,0x200c bit[1],0x200d bit[1],0x200e bit[1],,,,,,,,,FEC_D1_A REG3[5],,,,,,,,,,,LCDin_R1 REG0[6],,,,,,,,,,,,,,,,,,,,
PAD,GPIOA_2,0x200c bit[2],0x200d bit[2],0x200e bit[2],,,,,,,,,FEC_D2_A REG3[5],,,,,,,,,,,LCDin_R2 REG0[6],,,,,,,,,,,,,,,,,,,,
PAD,GPIOA_3,0x200c bit[3],0x200d bit[3],0x200e bit[3],,,,,,,,,FEC_D3_A REG3[5],,FEC_D0_C REG6[23],,,,,,,,,LCDin_R3 REG0[6],,,,,,,,,,,,,,,,,,,,
PAD,GPIOA_4,0x200c bit[4],0x200d bit[4],0x200e bit[4],,,,,,,,,FEC_D4_A REG3[5],,FEC_CLK_C REG6[22],,,,,,,,,LCDin_R4 REG0[6],,,,,,,,,,,,,,,,,,,,
PAD,GPIOA_5,0x200c bit[5],0x200d bit[5],0x200e bit[5],,,,,,,,,FEC_D5_A REG3[5],,FEC_SOP_C REG6[21],,,,,,,,,LCDin_R5 REG0[6],,,,,,,,,,,,,,,,,,,,
PAD,GPIOA_6,0x200c bit[6],0x200d bit[6],0x200e bit[6],,,,,,,,,FEC_D6_A REG3[5],,FEC_D_VALID_C REG6[20],,,,,,,,,LCDin_R6 REG0[6],,,,,,,,,,,,,,,,,,,,
PAD,GPIOA_7,0x200c bit[7],0x200d bit[7],0x200e bit[7],,,,,,,,,FEC_D7_A REG3[5],,FEC_FAIL_C REG6[19],,,,,,,,,LCDin_R7 REG0[6],,,,,,,,,,,,,,,,,,,,
PAD,GPIOA_8,0x200c bit[8],0x200d bit[8],0x200e bit[8],,,,,,,,,FEC_CLK_A REG3[0],,,,,,,,,,,LCDin_G0 REG0[6],,,,,,,,,,,,,,,,,,,,
PAD,GPIOA_9,0x200c bit[9],0x200d bit[9],0x200e bit[9],,,,,,,,,FEC_SOP_A REG3[1],,,,,,,,,,,LCDin_G1 REG0[6],,,,,,,,,,,,,,,,,,,,
PAD,GPIOA_10,0x200c bit[10],0x200d bit[10],0x200e bit[10],,,,,,,,,FEC_D_VALID_A REG3[2],,,,,,,,,,,LCDin_G2 REG0[6],,,,,,,,,,,,,,,,,,,,
PAD,GPIOA_11,0x200c bit[11],0x200d bit[11],0x200e bit[11],,,,,,,,,FEC_FAIL_A REG3[3],,,,,,,,,,,LCDin_G3 REG0[6],,,,,,,,,,,,,,,,,,,,
PAD,GPIOA_12,0x200c bit[12],0x200d bit[12],0x200e bit[12],,,,,,,,,,,,,ENC_0 REG7[0],,,,,,,LCDin_G4 REG0[6],,,,,,,,,,,,,,,,,,,,
PAD,GPIOA_13,0x200c bit[13],0x200d bit[13],0x200e bit[13],,,,,,,,,,,,,ENC_1 REG7[1],,,,,,,LCDin_G5 REG0[6],,,,,,,,,,,,,,,,,,,,
PAD,GPIOA_14,0x200c bit[14],0x200d bit[14],0x200e bit[14],,,,,,,,,,,,,ENC_2 REG7[2],,,,,,,LCDin_G6 REG0[6],,,,,,,,,,,,,,,,,,,,
PAD,GPIOA_15,0x200c bit[15],0x200d bit[15],0x200e bit[15],,,,,,,,,,,,,ENC_3 REG7[3],,,,,,,LCDin_G7 REG0[6],,,,,,,,,,,,,,,,,,,,
PAD,GPIOA_16,0x200c bit[16],0x200d bit[16],0x200e bit[16],,,,,,,,,,,,,ENC_4 REG7[4],,,,,,,LCDin_B0 REG0[6],,,,,,,,,,,,,,,,,,,,
PAD,GPIOA_17,0x200c bit[17],0x200d bit[17],0x200e bit[17],,,,,,,,,,,,,ENC_5 REG7[5],,,,,,,LCDin_B1 REG0[6],,,,,,,,,,,,,,,,,,,,
PAD,GPIOA_18,0x200c bit[18],0x200d bit[18],0x200e bit[18],,,,,,,,,,,,,ENC_6 REG7[6],,,,,,,LCDin_B2 REG0[6],,,,,,,,,,,,,,,,,,,,
PAD,GPIOA_19,0x200c bit[19],0x200d bit[19],0x200e bit[19],,,,,,,,,,,,,ENC_7 REG7[7],,,,,,,LCDin_B3 REG0[6],,,,,,,,,,,,,,,,,,,,
PAD,GPIOA_20,0x200c bit[20],0x200d bit[20],0x200e bit[20],,,,,,,,,,,,,ENC_8 REG7[8],,,,,,,LCDin_B4 REG0[6],,,,,,,,,,,,,,,,,,,,
PAD,GPIOA_21,0x200c bit[21],0x200d bit[21],0x200e bit[21],,,,,,,,,,,,,ENC_9 REG7[9],,,,,,,LCDin_B5 REG0[6],,,,,,,,,,,,,,,,,,,,
PAD,GPIOA_22,0x200c bit[22],0x200d bit[22],0x200e bit[22],,,,,,,,,,,,,ENC_10 REG7[10],,,,,,,LCDin_B6 REG0[6],,,,,,,,,,,,,,,,,,,,
PAD,GPIOA_23,0x200c bit[23],0x200d bit[23],0x200e bit[23],,,,,,,,,,,,,ENC_11 REG7[11],,,,,,,LCDin_B7 REG0[6],,,,,,,,,,,,,,,,,,,,
PAD,GPIOA_24,0x200c bit[24],0x200d bit[24],0x200e bit[24],,,,,,,,,,,,,ENC_12 REG7[12],,,,,,,LCDin_CLK REG0[7],,,,,,,,,,,,,,,,,,,,
PAD,GPIOA_25,0x200c bit[25],0x200d bit[25],0x200e bit[25],,,,,,,,,,,,,ENC_13 REG7[13],,,,,,,LCDin_HS REG0[8],,,,,,,,,,,,,,,,,,,,
PAD,GPIOA_26,0x200c bit[26],0x200d bit[26],0x200e bit[26],,,,,,,,,,,,,ENC_14 REG7[14],,,,,,,LCDin_VS REG0[9],,,,,,,,,,,,,,,,,,,,
PAD,GPIOA_27,0x200c bit[27],0x200d bit[27],0x200e bit[27],,,,,,,,,,,,,ENC_15 REG7[15],,,,,,,LCDin_DE REG0[10],,,,,,,,,,,,,,,,,,,,
PAD,GPIOAO_0,0xc8100024 bit[0],0xc8100026 bit[0],0xc8100028 bit[0],,,UART_TX AO_REG[12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAD,GPIOAO_1,0xc8100024 bit[1],0xc8100026 bit[1],0xc8100028 bit[1],,,UART_RX AO_REG[11],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAD,GPIOAO_2,0xc8100024 bit[2],0xc8100026 bit[2],0xc8100028 bit[2],,,UART_CTS AO_REG[10],UART_TX_PMIC AO_REG[26],I2C_SCK AO_REG[8],I2C_CLK_SLAVE AO_REG[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAD,GPIOAO_3,0xc8100024 bit[3],0xc8100026 bit[3],0xc8100028 bit[3],,,UART_RTS AO_REG[9],UART_RX_PMIC AO_REG[25],I2C_SDA AO_REG[7],I2C_SDA_SLAVE AO_REG[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAD,GPIOAO_4,0xc8100024 bit[4],0xc8100026 bit[4],0xc8100028 bit[4],,,,UART_TX_PMIC AO_REG[24],I2C_SCK AO_REG[6],I2C_SCK_SLAVE AO_REG[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAD,GPIOAO_5,0xc8100024 bit[5],0xc8100026 bit[5],0xc8100028 bit[5],,,,UART_RX_PMIC AO_REG[23],I2C_SDA AO_REG[5],I2C_SDA_SLAVE AO_REG[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAD,GPIOAO_6,0xc8100024 bit[6],0xc8100026 bit[6],0xc8100028 bit[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLK_OUT AO_REG[22],WD_GPIO AO_REG[19],
PAD,GPIOAO_7,0xc8100024 bit[7],0xc8100026 bit[7],0xc8100028 bit[7],,REMOTE AO_REG[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAD,GPIOAO_8,0xc8100024 bit[8],0xc8100026 bit[8],0xc8100028 bit[8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAD,GPIOAO_9,0xc8100024 bit[9],0xc8100026 bit[9],0xc8100028 bit[9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAD,GPIOAO_10,0xc8100024 bit[10],0xc8100026 bit[10],0xc8100028 bit[10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAD,GPIOAO_11,0xc8100024 bit[11],0xc8100026 bit[11],0xc8100028 bit[11],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLK_OUT AO_REG[21],,
PAD,TEST_N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD_GPIO AO_REG[20],
